country,KMeans_Cluster,DBSCAN_Cluster,KMeans_Silhouette,KMeans_DaviesBouldin,KMeans_CalinskiHarabasz
Liberia,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Libya,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Lithuania,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
Luxembourg,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
"Macedonia, FYR",2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
Madagascar,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Malawi,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Malaysia,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Maldives,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Mali,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Malta,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Mauritania,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Mauritius,2,0,0.34265474105126204,1.1136713454787641,99.41029182481138
"Micronesia, Fed. Sts.",2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Moldova,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Mongolia,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Montenegro,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Morocco,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Mozambique,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Myanmar,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Namibia,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Nepal,2,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Netherlands,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
New Zealand,0,1,0.34265474105126204,1.1136713454787641,99.41029182481138
Niger,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Nigeria,1,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
Norway,0,-1,0.34265474105126204,1.1136713454787641,99.41029182481138
